,縣市,行政區,得票數,得票率,已送投開票所數,應送投開票所數,時間
326,臺東縣,關山鎮,0,0.0,0,9,20181124-172523
327,臺東縣,卑南鄉,0,0.0,0,22,20181124-172524
328,臺東縣,鹿野鄉,0,0.0,0,10,20181124-172524
329,臺東縣,池上鄉,0,0.0,0,12,20181124-172524
330,臺東縣,東河鄉,0,0.0,0,11,20181124-172524
331,臺東縣,長濱鄉,0,0.0,0,11,20181124-172524
332,臺東縣,太麻里鄉,0,0.0,0,15,20181124-172525
333,臺東縣,大武鄉,0,0.0,0,6,20181124-172525
334,臺東縣,綠島鄉,0,0.0,0,4,20181124-172525
335,臺東縣,海端鄉,0,0.0,0,6,20181124-172525
336,臺東縣,延平鄉,0,0.0,0,5,20181124-172526
337,臺東縣,金峰鄉,0,0.0,0,5,20181124-172526
338,臺東縣,達仁鄉,0,0.0,0,7,20181124-172526
339,臺東縣,蘭嶼鄉,0,0.0,0,4,20181124-172526
340,澎湖縣,馬公市,0,0.0,0,50,20181124-172527
341,澎湖縣,湖西鄉,1,0.93,1,23,20181124-172527
342,澎湖縣,白沙鄉,0,0.0,2,15,20181124-172527
343,澎湖縣,西嶼鄉,119,44.24,2,12,20181124-172527
344,澎湖縣,望安鄉,0,0.0,0,10,20181124-172527
345,澎湖縣,七美鄉,0,0.0,0,6,20181124-172528
346,金門縣,金城鎮,0,0.0,0,21,20181124-172528
347,金門縣,金沙鎮,0,0.0,0,13,20181124-172528
348,金門縣,金湖鎮,0,0.0,0,17,20181124-172528
349,金門縣,金寧鄉,0,0.0,0,17,20181124-172529
350,金門縣,烈嶼鄉,0,0.0,0,8,20181124-172529
351,金門縣,烏坵鄉,0,0.0,0,2,20181124-172529
352,連江縣,南竿鄉,0,0.0,0,4,20181124-172529
353,連江縣,北竿鄉,0,0.0,0,2,20181124-172529
354,連江縣,莒光鄉,0,0.0,0,2,20181124-172530
355,連江縣,東引鄉,0,0.0,0,1,20181124-172530
356,基隆市,中正區,0,0.0,0,35,20181124-172530
357,基隆市,七堵區,0,0.0,0,39,20181124-172530
358,基隆市,暖暖區,0,0.0,0,28,20181124-172531
359,基隆市,仁愛區,0,0.0,0,35,20181124-172531
360,基隆市,中山區,0,0.0,0,35,20181124-172531
361,基隆市,安樂區,0,0.0,0,49,20181124-172531
362,基隆市,信義區,0,0.0,0,36,20181124-172532
363,新竹市,東區,0,0.0,0,139,20181124-172532
364,新竹市,北區,0,0.0,0,105,20181124-172532
365,新竹市,香山區,0,0.0,0,55,20181124-172532
366,嘉義市,東區,0,0.0,0,81,20181124-172533
367,嘉義市,西區,0,0.0,0,96,20181124-172533
