,city,district,url
184,苗栗縣,西湖鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001400000000.html
185,苗栗縣,造橋鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001500000000.html
186,苗栗縣,三灣鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001600000000.html
187,苗栗縣,獅潭鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001700000000.html
188,苗栗縣,泰安鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10005001800000000.html
189,彰化縣,彰化市,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000100000000.html
190,彰化縣,鹿港鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000200000000.html
191,彰化縣,和美鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000300000000.html
192,彰化縣,線西鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000400000000.html
193,彰化縣,伸港鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000500000000.html
194,彰化縣,福興鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000600000000.html
195,彰化縣,秀水鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000700000000.html
196,彰化縣,花壇鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000800000000.html
197,彰化縣,芬園鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007000900000000.html
198,彰化縣,員林市,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001000000000.html
199,彰化縣,溪湖鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001100000000.html
200,彰化縣,田中鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001200000000.html
201,彰化縣,大村鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001300000000.html
202,彰化縣,埔鹽鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001400000000.html
203,彰化縣,埔心鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001500000000.html
204,彰化縣,永靖鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001600000000.html
205,彰化縣,社頭鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001700000000.html
206,彰化縣,二水鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001800000000.html
207,彰化縣,北斗鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007001900000000.html
208,彰化縣,二林鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007002000000000.html
209,彰化縣,田尾鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007002100000000.html
210,彰化縣,埤頭鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007002200000000.html
211,彰化縣,芳苑鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007002300000000.html
212,彰化縣,大城鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007002400000000.html
213,彰化縣,竹塘鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007002500000000.html
214,彰化縣,溪州鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10007002600000000.html
215,南投縣,南投市,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000100000000.html
216,南投縣,埔里鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000200000000.html
217,南投縣,草屯鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000300000000.html
218,南投縣,竹山鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000400000000.html
219,南投縣,集集鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000500000000.html
220,南投縣,名間鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000600000000.html
221,南投縣,鹿谷鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000700000000.html
222,南投縣,中寮鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000800000000.html
223,南投縣,魚池鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008000900000000.html
224,南投縣,國姓鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008001000000000.html
225,南投縣,水里鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008001100000000.html
226,南投縣,信義鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008001200000000.html
227,南投縣,仁愛鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10008001300000000.html
228,雲林縣,斗六市,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000100000000.html
229,雲林縣,斗南鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000200000000.html
230,雲林縣,虎尾鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000300000000.html
231,雲林縣,西螺鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000400000000.html
232,雲林縣,土庫鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000500000000.html
233,雲林縣,北港鎮,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000600000000.html
234,雲林縣,古坑鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000700000000.html
235,雲林縣,大埤鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000800000000.html
236,雲林縣,莿桐鄉,http://vote.2018.nat.gov.tw/pc/zh_TW/TC/n10009000900000000.html
