,no,city,district,url
124,7,高雄市,三民區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000500000000.html
125,7,高雄市,新興區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000600000000.html
126,7,高雄市,前金區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000700000000.html
127,7,高雄市,苓雅區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000800000000.html
128,7,高雄市,前鎮區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000000900000000.html
129,7,高雄市,旗津區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001000000000.html
130,7,高雄市,小港區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001100000000.html
131,7,高雄市,鳳山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001200000000.html
132,7,高雄市,林園區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001300000000.html
133,7,高雄市,大寮區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001400000000.html
134,7,高雄市,大樹區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001500000000.html
135,7,高雄市,大社區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001600000000.html
136,7,高雄市,仁武區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001700000000.html
137,7,高雄市,鳥松區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001800000000.html
138,7,高雄市,岡山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000001900000000.html
139,7,高雄市,橋頭區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002000000000.html
140,7,高雄市,燕巢區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002100000000.html
141,7,高雄市,田寮區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002200000000.html
142,7,高雄市,阿蓮區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002300000000.html
143,7,高雄市,路竹區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002400000000.html
144,7,高雄市,湖內區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002500000000.html
145,7,高雄市,茄萣區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002600000000.html
146,7,高雄市,永安區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002700000000.html
147,7,高雄市,彌陀區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002800000000.html
148,7,高雄市,梓官區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000002900000000.html
149,7,高雄市,旗山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003000000000.html
150,7,高雄市,美濃區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003100000000.html
151,7,高雄市,六龜區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003200000000.html
152,7,高雄市,甲仙區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003300000000.html
153,7,高雄市,杉林區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003400000000.html
154,7,高雄市,內門區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003500000000.html
155,7,高雄市,茂林區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003600000000.html
156,7,高雄市,桃源區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003700000000.html
157,7,高雄市,那瑪夏區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/64000003800000000.html
158,7,新竹縣,竹北市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000100000000.html
159,7,新竹縣,竹東鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000200000000.html
160,7,新竹縣,新埔鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10004000300000000.html
